Botanical Name,Page Name,Category,Wikilink
Iris Pseudacorus,Iris_pseudacorus,Perennial,https://en.wikipedia.org/wiki/Iris_pseudacorus
Iris Pumila,Iris_pumila,Perennial,https://en.wikipedia.org/wiki/Iris_pumila
Iris Reticulata,Iris_reticulata,Perennial,https://en.wikipedia.org/wiki/Iris_reticulata
Iris Sibirica,Iris_sibirica,Perennial,https://en.wikipedia.org/wiki/Iris_sibirica
Iris Versicolor,Iris_versicolor,Perennial,https://en.wikipedia.org/wiki/Iris_versicolor
Iris Virginica,Iris_virginica,Perennial,https://en.wikipedia.org/wiki/Iris_virginica
Isolepis Cernua,Isolepis_cernua,Grass (Ornamental),https://en.wikipedia.org/wiki/Isolepis_cernua
Jacaranda Mimosifolia,Jacaranda_mimosifolia,Tree,https://en.wikipedia.org/wiki/Jacaranda_mimosifolia
Jasminum Multiflorum,Jasminum_multiflorum,Vine,https://en.wikipedia.org/wiki/Jasminum_multiflorum
Jasminum Nitidum,NILL,Shrub,NILL
Jasminum Nudiflorum,Jasminum_nudiflorum,Shrub,https://en.wikipedia.org/wiki/Jasminum_nudiflorum
Jasminum Polyanthum,Jasminum_polyanthum,Vine,https://en.wikipedia.org/wiki/Jasminum_polyanthum
Jasminum Sambac,Jasminum_sambac,Shrub,https://en.wikipedia.org/wiki/Jasminum_sambac
Jatropha Integerrima,Jatropha_integerrima,Shrub,https://en.wikipedia.org/wiki/Jatropha_integerrima
Juglans Cinerea,Juglans_cinerea,Tree,https://en.wikipedia.org/wiki/Juglans_cinerea
Juglans Nigra,Juglans_nigra,Tree,https://en.wikipedia.org/wiki/Juglans_nigra
Juglans Regia,Juglans_regia,Tree,https://en.wikipedia.org/wiki/Juglans_regia
Juncus Effusus,Juncus_effusus,Grass (Ornamental),https://en.wikipedia.org/wiki/Juncus_effusus
Juncus Inflexus,NILL,Grass (Ornamental),NILL
Juncus Tenuis,Juncus_tenuis,Grass (Ornamental),https://en.wikipedia.org/wiki/Juncus_tenuis
Juniperus Conferta,Juniperus_conferta,Shrub,https://en.wikipedia.org/wiki/Juniperus_conferta
Juniperus Sabina,Juniperus_sabina,Shrub,https://en.wikipedia.org/wiki/Juniperus_sabina
Justicia Californica,Justicia_californica,Shrub,https://en.wikipedia.org/wiki/Justicia_californica
Justicia Carnea,Justicia_carnea,Tropical,https://en.wikipedia.org/wiki/Justicia_carnea
Justicia Ovata,NILL,Tropical,NILL
Justicia Spicigera,Justicia_spicigera,Shrub,https://en.wikipedia.org/wiki/Justicia_spicigera
Kalanchoe Gastonis-bonnieri,Kalanchoe_gastonis-bonnieri,Cacti/Succulent,https://en.wikipedia.org/wiki/Kalanchoe_gastonis-bonnieri
Kalmia Latifolia,Kalmia_latifolia,Shrub,https://en.wikipedia.org/wiki/Kalmia_latifolia
Kennedia Nigricans,Kennedia_nigricans,Vine,https://en.wikipedia.org/wiki/Kennedia_nigricans
Kniphofia Uvaria,Kniphofia_uvaria,Perennial,https://en.wikipedia.org/wiki/Kniphofia_uvaria
Koelreuteria Paniculata,Koelreuteria_paniculata,Tree,https://en.wikipedia.org/wiki/Koelreuteria_paniculata
Lactuca Sativa,Lettuce,Annual,https://en.wikipedia.org/wiki/Lactuca_sativa
Lagerstroemia Speciosa,Lagerstroemia_speciosa,Tree,https://en.wikipedia.org/wiki/Lagerstroemia_speciosa
Lamiastrum Galeobdolon,Lamium_galeobdolon,Perennial,https://en.wikipedia.org/wiki/Lamiastrum_galeobdolon
Lamium Maculatum,Lamium_maculatum,Perennial,https://en.wikipedia.org/wiki/Lamium_maculatum
Lantana Montevidensis,Lantana_montevidensis,Annual,https://en.wikipedia.org/wiki/Lantana_montevidensis
Larix Decidua,Larix_decidua,Tree,https://en.wikipedia.org/wiki/Larix_decidua
Larix Occidentalis,Larix_occidentalis,Tree,https://en.wikipedia.org/wiki/Larix_occidentalis
Larrea Tridentata,Larrea_tridentata,Shrub,https://en.wikipedia.org/wiki/Larrea_tridentata
Lathyrus Odoratus,Sweet_pea,Annual,https://en.wikipedia.org/wiki/Sweet_pea
Laurus Nobilis,Laurus_nobilis,Tree,https://en.wikipedia.org/wiki/Laurus_nobilis
Leonotis Leonurus,Leonotis_leonurus,Perennial,https://en.wikipedia.org/wiki/Leonotis_leonurus
Leptospermum Scoparium,Leptospermum_scoparium,Shrub,https://en.wikipedia.org/wiki/Leptospermum_scoparium
Leucojum Aestivum,Leucojum_aestivum,Flowering Bulb,https://en.wikipedia.org/wiki/Leucojum_aestivum
Leucophyllum Zygophyllum,NILL,Shrub,NILL
Leucothoe Axillaris,Leucothoe_axillaris,Shrub,https://en.wikipedia.org/wiki/Leucothoe_axillaris
Leucothoe Fontanesiana,Leucothoe_fontanesiana,Shrub,https://en.wikipedia.org/wiki/Leucothoe_fontanesiana
Lewisia Cotyledon,Lewisia_cotyledon,Perennial,https://en.wikipedia.org/wiki/Lewisia_cotyledon
Lewisia Longipetala,Lewisia_longipetala,Perennial,https://en.wikipedia.org/wiki/Lewisia_longipetala
Leycesteria Formosa,Leycesteria_formosa,Annual,https://en.wikipedia.org/wiki/Leycesteria_formosa
Leymus Arenarius,Leymus_arenarius,Grass (Ornamental),https://en.wikipedia.org/wiki/Leymus_arenarius
Liatris Microcephala,Liatris_microcephala,Perennial,https://en.wikipedia.org/wiki/Liatris_microcephala
Liatris Spicata,Liatris_spicata,Perennial,https://en.wikipedia.org/wiki/Liatris_spicata
Ligustrum Amurense,Ligustrum_obtusifolium,Shrub,https://en.wikipedia.org/wiki/Ligustrum_obtusifolium
Ligustrum Lucidum,Ligustrum_lucidum,Shrub,https://en.wikipedia.org/wiki/Ligustrum_lucidum
Ligustrum Sinense,Ligustrum_sinense,Shrub,https://en.wikipedia.org/wiki/Ligustrum_sinense
Lilium Longiflorum,Lilium_longiflorum,Perennial,https://en.wikipedia.org/wiki/Lilium_longiflorum
Limonium Perezii,Limonium_perezii,Perennial,https://en.wikipedia.org/wiki/Limonium_perezii
Limonium Sinuatum,Limonium_sinuatum,Perennial,https://en.wikipedia.org/wiki/Limonium_sinuatum
Lindernia Grandiflora,NILL,Ground Cover,NILL
Liquidambar Styraciflua,Liquidambar_styraciflua,Tree,https://en.wikipedia.org/wiki/Liquidambar_styraciflua
Liriodendron Tulipifera,Liriodendron_tulipifera,Tree,https://en.wikipedia.org/wiki/Liriodendron_tulipifera
Liriope Spicata,Liriope_spicata,Ground Cover,https://en.wikipedia.org/wiki/Liriope_spicata
Litchi Chinensis,Lychee,Tree,https://en.wikipedia.org/wiki/Lychee
Livistona Chinensis,Livistona_chinensis,House Plant,https://en.wikipedia.org/wiki/Livistona_chinensis
Lobelia Cardinalis,Lobelia_cardinalis,Perennial,https://en.wikipedia.org/wiki/Lobelia_cardinalis
Lobelia Erinus,Lobelia_erinus,Annual,https://en.wikipedia.org/wiki/Lobelia_erinus
Lobelia Laxiflora,Lobelia_laxiflora,Perennial,https://en.wikipedia.org/wiki/Lobelia_laxiflora
Lobelia Siphilitica,Lobelia_siphilitica,Perennial,https://en.wikipedia.org/wiki/Lobelia_siphilitica
Lobularia Maritima,Lobularia_maritima,Annual,https://en.wikipedia.org/wiki/Lobularia_maritima
Lolium Perenne,Lolium_perenne,Grass (Lawn),https://en.wikipedia.org/wiki/Lolium_perenne
Lonicera Caerulea,Lonicera_caerulea,Fruit,https://en.wikipedia.org/wiki/Lonicera_caerulea
Lonicera Fragrantissima,Lonicera_fragrantissima,Shrub,https://en.wikipedia.org/wiki/Lonicera_fragrantissima
Lupinus Argenteus,Lupinus_argenteus,Perennial,https://en.wikipedia.org/wiki/Lupinus_argenteus
Luzula Nivea,Luzula_nivea,Grass (Ornamental),https://en.wikipedia.org/wiki/Luzula_nivea
Lychnis Chalcedonica,Lychnis_chalcedonica,Perennial,https://en.wikipedia.org/wiki/Lychnis_chalcedonica
Lycium Barbarum,Lycium_barbarum,Fruit,https://en.wikipedia.org/wiki/Lycium_barbarum
Lycoris Squamigera,Lycoris_squamigera,Flowering Bulb,https://en.wikipedia.org/wiki/Lycoris_squamigera
Lysimachia Clethroides,Lysimachia_clethroides,Perennial,https://en.wikipedia.org/wiki/Lysimachia_clethroides
Lysimachia Nummularia,Lysimachia_nummularia,Ground Cover,https://en.wikipedia.org/wiki/Lysimachia_nummularia
Lysimachia Punctata,Lysimachia_punctata,Perennial,https://en.wikipedia.org/wiki/Lysimachia_punctata
Macfadyena Unguis-cati,Dolichandra_unguis-cati,Vine,https://en.wikipedia.org/wiki/Dolichandra_unguis-cati
Magnolia Grandiflora,Magnolia_grandiflora,Tree,https://en.wikipedia.org/wiki/Magnolia_grandiflora
Magnolia Stellata,Magnolia_stellata,Tree,https://en.wikipedia.org/wiki/Magnolia_stellata
Magnolia Virginiana,Magnolia_virginiana,Tree,https://en.wikipedia.org/wiki/Magnolia_virginiana
Mahonia Aquifolium,Mahonia_aquifolium,Shrub,https://en.wikipedia.org/wiki/Mahonia_aquifolium
Mahonia Bealei,Mahonia_bealei,Shrub,https://en.wikipedia.org/wiki/Mahonia_bealei
Mahonia Nervosa,Mahonia_nervosa,Shrub,https://en.wikipedia.org/wiki/Mahonia_nervosa
Mahonia Repens,Mahonia_repens,Ground Cover,https://en.wikipedia.org/wiki/Mahonia_repens
Malpighia Glabra,Malpighia_glabra,Shrub,https://en.wikipedia.org/wiki/Malpighia_glabra
Mangifera Indica,Mangifera_indica,Tree,https://en.wikipedia.org/wiki/Mangifera_indica
Maranta Leuconeura,Maranta_leuconeura,House Plant,https://en.wikipedia.org/wiki/Maranta_leuconeura
Matricaria Recutita,Matricaria_chamomilla,Herb,https://en.wikipedia.org/wiki/Matricaria_chamomilla
Matteuccia Struthiopteris,Matteuccia,Fern,https://en.wikipedia.org/wiki/Matteuccia
Matthiola Incana,Matthiola_incana,Annual,https://en.wikipedia.org/wiki/Matthiola_incana
Maytenus Boaria,Maytenus_boaria,Tree,https://en.wikipedia.org/wiki/Maytenus_boaria
Medinilla Magnifica,Medinilla_magnifica,Tropical,https://en.wikipedia.org/wiki/Medinilla_magnifica
Meehania Cordata,Meehania_cordata,Perennial,https://en.wikipedia.org/wiki/Meehania_cordata
Megaskepasma Erythrochlamys,Megaskepasma,Tropical,https://en.wikipedia.org/wiki/Megaskepasma
Melaleuca Diosmifolia,Melaleuca_diosmifolia,Shrub,https://en.wikipedia.org/wiki/Melaleuca_diosmifolia
Melaleuca Elliptica,Melaleuca_elliptica,Shrub,https://en.wikipedia.org/wiki/Melaleuca_elliptica
Melaleuca Huegelii,Melaleuca_huegelii,Shrub,https://en.wikipedia.org/wiki/Melaleuca_huegelii
Melaleuca Hypericifolia,Melaleuca_hypericifolia,Shrub,https://en.wikipedia.org/wiki/Melaleuca_hypericifolia
Melaleuca Megacephala,Melaleuca_megacephala,Shrub,https://en.wikipedia.org/wiki/Melaleuca_megacephala
Melaleuca Nesophila,Melaleuca_nesophila,Shrub,https://en.wikipedia.org/wiki/Melaleuca_nesophila
Melaleuca Pulchella,Melaleuca_pulchella,Shrub,https://en.wikipedia.org/wiki/Melaleuca_pulchella
Melia Azedarach,Melia_azedarach,Tree,https://en.wikipedia.org/wiki/Melia_azedarach
Mentha Pulegium,Mentha_pulegium,Herb,https://en.wikipedia.org/wiki/Mentha_pulegium
Mentha Requienii,Mentha_requienii,Herb,https://en.wikipedia.org/wiki/Mentha_requienii
Metasequoia Glyptostroboides,Metasequoia_glyptostroboides,Tree,https://en.wikipedia.org/wiki/Metasequoia_glyptostroboides
Microlepia Strigosa,Microlepia_strigosa,Fern,https://en.wikipedia.org/wiki/Microlepia_strigosa
Mimulus Ringens,Mimulus_ringens,Shrub,https://en.wikipedia.org/wiki/Mimulus_ringens
Mirabilis Jalapa,Mirabilis_jalapa,Annual,https://en.wikipedia.org/wiki/Mirabilis_jalapa
Miscanthus Sinensis,Miscanthus_sinensis,Grass (Ornamental),https://en.wikipedia.org/wiki/Miscanthus_sinensis
Monarda Bradburiana,Monarda_bradburiana,Perennial,https://en.wikipedia.org/wiki/Monarda_bradburiana
Monarda Fistulosa,Monarda_fistulosa,Perennial,https://en.wikipedia.org/wiki/Monarda_fistulosa
Monstera Deliciosa,Monstera_deliciosa,Tropical,https://en.wikipedia.org/wiki/Monstera_deliciosa
Moringa Oleifera,Moringa_oleifera,Tree,https://en.wikipedia.org/wiki/Moringa_oleifera
Morus Alba,Morus_alba,Tree,https://en.wikipedia.org/wiki/Morus_alba
Morus Rubra,Morus_rubra,Tree,https://en.wikipedia.org/wiki/Morus_rubra
Muehlenbeckia Complexa,Muehlenbeckia_complexa,Ground Cover,https://en.wikipedia.org/wiki/Muehlenbeckia_complexa
Muhlenbergia Rigens,Muhlenbergia_rigens,Grass (Ornamental),https://en.wikipedia.org/wiki/Muhlenbergia_rigens
Murraya Exotica,Murraya_paniculata,Shrub,https://en.wikipedia.org/wiki/Murraya_paniculata
Musa Velutina,Musa_velutina,Fruit,https://en.wikipedia.org/wiki/Musa_velutina
Muscari Armeniacum,Muscari_armeniacum,Flowering Bulb,https://en.wikipedia.org/wiki/Muscari_armeniacum
Mussaenda Erythrophylla,Mussaenda_erythrophylla,Tropical,https://en.wikipedia.org/wiki/Mussaenda_erythrophylla
Myoporum Laetum,Myoporum_laetum,Tree,https://en.wikipedia.org/wiki/Myoporum_laetum
Myoporum Parvifolium,myoporum_parvifolium,Ground Cover,https://en.wikipedia.org/wiki/myoporum_parvifolium
Myrtus Communis,myrtus_communis,Shrub,https://en.wikipedia.org/wiki/myrtus_communis
Narcissus Bulbocodium,narcissus_bulbocodium,Perennial,https://en.wikipedia.org/wiki/narcissus_bulbocodium
Narcissus Tazetta,narcissus_tazetta,Flowering Bulb,https://en.wikipedia.org/wiki/narcissus_tazetta
Nepeta Cataria,nepeta_cataria,Herb,https://en.wikipedia.org/wiki/nepeta_cataria
Nephrolepis Cordifolia,nephrolepis_cordifolia,Fern,https://en.wikipedia.org/wiki/nephrolepis_cordifolia
Nephrolepis Falcata,nephrolepis_falcata,Fern,https://en.wikipedia.org/wiki/nephrolepis_falcata
Nephrolepis Obliterata,nephrolepis_obliterata,Fern,https://en.wikipedia.org/wiki/nephrolepis_obliterata
Nicotiana Alata,nicotiana_alata,Annual,https://en.wikipedia.org/wiki/nicotiana_alata
Nolina Microcarpa,nolina_microcarpa,Grass (Ornamental),https://en.wikipedia.org/wiki/nolina_microcarpa
Nyssa Sylvatica,nyssa_sylvatica,Tree,https://en.wikipedia.org/wiki/nyssa_sylvatica
Ocimum Basilicum,ocimum_basilicum,Herb,https://en.wikipedia.org/wiki/ocimum_basilicum
Oenothera Drummondii,oenothera_drummondii,Perennial,NILL
Oenothera Speciosa,oenothera_speciosa,Perennial,https://en.wikipedia.org/wiki/oenothera_speciosa
Olea Europaea,olea_europaea,Tree,https://en.wikipedia.org/wiki/olea_europaea
Olneya Tesota,olneya_tesota,Tree,https://en.wikipedia.org/wiki/olneya_tesota
Onoclea Sensibilis,onoclea_sensibilis,Fern,https://en.wikipedia.org/wiki/onoclea_sensibilis
Ophiopogon Jaburan,ophiopogon_jaburan,Ground Cover,NILL
Ophiopogon Japonicus,ophiopogon_japonicus,Ground Cover,https://en.wikipedia.org/wiki/ophiopogon_japonicus
Opuntia Aciculata,opuntia_aciculata,Shrub,https://en.wikipedia.org/wiki/opuntia_aciculata
Opuntia Basilaris,opuntia_basilaris,Shrub,https://en.wikipedia.org/wiki/opuntia_basilaris
Origanum Majorana,origanum_majorana,Herb,https://en.wikipedia.org/wiki/origanum_majorana
Origanum Vulgare,origanum_vulgare,Herb,https://en.wikipedia.org/wiki/origanum_vulgare
Ornithogalum Umbellatum,ornithogalum_umbellatum,Perennial,https://en.wikipedia.org/wiki/ornithogalum_umbellatum
Osmanthus Delavayi,osmanthus_delavayi,Shrub,https://en.wikipedia.org/wiki/osmanthus_delavayi
Osmanthus Fragrans,osmanthus_fragrans,Shrub,https://en.wikipedia.org/wiki/osmanthus_fragrans
Osmunda Cinnamomea,osmunda_cinnamomea,Fern,https://en.wikipedia.org/wiki/osmunda_cinnamomea
Osmunda Claytoniana,osmunda_claytoniana,Fern,https://en.wikipedia.org/wiki/osmunda_claytoniana
Osmunda Regalis,osmunda_regalis,Fern,https://en.wikipedia.org/wiki/osmunda_regalis
Osteospermum Ecklonis,osteospermum_ecklonis,Annual,https://en.wikipedia.org/wiki/osteospermum_ecklonis
Pachira Aquatica,pachira_aquatica,House Plant,https://en.wikipedia.org/wiki/pachira_aquatica
Pachysandra Terminalis,pachysandra_terminalis,Ground Cover,https://en.wikipedia.org/wiki/pachysandra_terminalis
Pachystachys Lutea,pachystachys_lutea,Tropical,https://en.wikipedia.org/wiki/pachystachys_lutea
Paeonia Lactiflora,paeonia_lactiflora,Perennial,https://en.wikipedia.org/wiki/paeonia_lactiflora
Panicum Virgatum,panicum_virgatum,Grass (Ornamental),https://en.wikipedia.org/wiki/panicum_virgatum
Parkinsonia Aculeata,parkinsonia_aculeata,Tree,https://en.wikipedia.org/wiki/parkinsonia_aculeata
Parrotia Persica,parrotia_persica,Tree,https://en.wikipedia.org/wiki/parrotia_persica
Parthenocissus Quinquefolia,parthenocissus_quinquefolia,Vine,https://en.wikipedia.org/wiki/parthenocissus_quinquefolia
Parthenocissus Tricuspidata,parthenocissus_tricuspidata,Vine,https://en.wikipedia.org/wiki/parthenocissus_tricuspidata
Passiflora Coccinea,passiflora_coccinea,Vine,https://en.wikipedia.org/wiki/passiflora_coccinea
Passiflora Edulis,passiflora_edulis,Fruit,https://en.wikipedia.org/wiki/passiflora_edulis
Passiflora Incarnata,passiflora_incarnata,Vine,https://en.wikipedia.org/wiki/passiflora_incarnata
Passiflora Vitifolia,passiflora_vitifolia,Vine,https://en.wikipedia.org/wiki/passiflora_vitifolia
Pedilanthus Tithymaloides,pedilanthus_tithymaloides,House Plant,https://en.wikipedia.org/wiki/pedilanthus_tithymaloides
Pelargonium Peltatum,pelargonium_peltatum,Annual,https://en.wikipedia.org/wiki/pelargonium_peltatum
Pelargonium Quercifolium,pelargonium_quercifolium,Annual,https://en.wikipedia.org/wiki/pelargonium_quercifolium
Pennisetum Glaucum,pennisetum_glaucum,Annual,https://en.wikipedia.org/wiki/pennisetum_glaucum
Pennisetum Orientale,pennisetum_orientale,Grass (Ornamental),https://en.wikipedia.org/wiki/pennisetum_orientale
Pennisetum Setaceum,pennisetum_setaceum,Grass (Ornamental),https://en.wikipedia.org/wiki/pennisetum_setaceum
Penstemon Digitalis,penstemon_digitalis,Perennial,
Penstemon Eatonii,penstemon_eatonii,Perennial,https://en.wikipedia.org/wiki/penstemon_eatonii
Penstemon Palmeri,penstemon_palmeri,Perennial,https://en.wikipedia.org/wiki/penstemon_palmeri
Penstemon Parryi,penstemon_parryi,Perennial,https://en.wikipedia.org/wiki/penstemon_parryi
Penstemon Pinifolius,penstemon_pinifolius,Perennial,NILL
Penstemon Serrulatus,penstemon_serrulatus,Perennial,https://en.wikipedia.org/wiki/penstemon_serrulatus
Penstemon Strictus,penstemon_strictus,Perennial,https://en.wikipedia.org/wiki/penstemon_strictus
Pentalinon Luteum,pentalinon_luteum,Vine,https://en.wikipedia.org/wiki/pentalinon_luteum
Peperomia Obtusifolia,peperomia_obtusifolia,Tropical,https://en.wikipedia.org/wiki/peperomia_obtusifolia
Perilla Frutescens,perilla_frutescens,Annual,https://en.wikipedia.org/wiki/perilla_frutescens
Perovskia Atriplicifolia,perovskia_atriplicifolia,Perennial,https://en.wikipedia.org/wiki/perovskia_atriplicifolia
Persea Americana,persea_americana,Tree,https://en.wikipedia.org/wiki/persea_americana
Petroselinum Crispum,petroselinum_crispum,Herb,https://en.wikipedia.org/wiki/petroselinum_crispum
Phaseolus Vulgaris,phaseolus_vulgaris,Vegetable,https://en.wikipedia.org/wiki/phaseolus_vulgaris
Philadelphus Coronarius,philadelphus_coronarius,Shrub,https://en.wikipedia.org/wiki/philadelphus_coronarius
Philodendron Cordatum,philodendron_cordatum,House Plant,https://en.wikipedia.org/wiki/philodendron_cordatum
Philodendron Selloum,philodendron_selloum,House Plant,https://en.wikipedia.org/wiki/philodendron_selloum
Phlox Pilosa,phlox_pilosa,Perennial,https://en.wikipedia.org/wiki/phlox_pilosa
Phlox Subulata,phlox_subulata,Perennial,https://en.wikipedia.org/wiki/phlox_subulata
Phoenix Sylvestris,phoenix_sylvestris,Tropical,https://en.wikipedia.org/wiki/phoenix_sylvestris
Phormium Tenax,phormium_tenax,Tropical,https://en.wikipedia.org/wiki/phormium_tenax
Phyllostachys Aurea,phyllostachys_aurea,Perennial,https://en.wikipedia.org/wiki/phyllostachys_aurea
Physalis Alkekengi,physalis_alkekengi,Annual,https://en.wikipedia.org/wiki/physalis_alkekengi
Physalis Peruviana,physalis_peruviana,Fruit,https://en.wikipedia.org/wiki/physalis_peruviana
Physalis Philadelphica,physalis_philadelphica,Vegetable,https://en.wikipedia.org/wiki/physalis_philadelphica
Physocarpus Opulifolius,physocarpus_opulifolius,Shrub,https://en.wikipedia.org/wiki/physocarpus_opulifolius
Physostegia Virginiana,physostegia_virginiana,Perennial,https://en.wikipedia.org/wiki/physostegia_virginiana
Picea Abies,picea_abies,Tree,https://en.wikipedia.org/wiki/picea_abies
Picea Engelmannii,picea_engelmannii,Tree,https://en.wikipedia.org/wiki/picea_engelmannii
Picea Omorika,picea_omorika,Tree,https://en.wikipedia.org/wiki/picea_omorika
Picea Pungens,picea_pungens,Tree,https://en.wikipedia.org/wiki/picea_pungens
Picea Sitchensis,picea_sitchensis,Tree,https://en.wikipedia.org/wiki/picea_sitchensis
Pieris Japonica,pieris_japonica,Shrub,https://en.wikipedia.org/wiki/pieris_japonica
Pinus Aristata,pinus_aristata,Tree,https://en.wikipedia.org/wiki/pinus_aristata
Pinus Contorta var. contorta,pinus_contorta_var._contorta,Tree,NILL
Pinus Leucodermis,pinus_leucodermis,Tree,https://en.wikipedia.org/wiki/pinus_leucodermis
Pinus Monticola,pinus_monticola,Tree,https://en.wikipedia.org/wiki/pinus_monticola
Pinus Nigra,pinus_nigra,Tree,https://en.wikipedia.org/wiki/pinus_nigra
Pinus Ponderosa,pinus_ponderosa,Tree,https://en.wikipedia.org/wiki/pinus_ponderosa
Pinus Strobiformis,pinus_strobiformis,Tree,https://en.wikipedia.org/wiki/pinus_strobiformis
Pinus Strobus,pinus_strobus,Tree,https://en.wikipedia.org/wiki/pinus_strobus
Pinus Sylvestris,pinus_sylvestris,Tree,https://en.wikipedia.org/wiki/pinus_sylvestris
Pinus Taeda,pinus_taeda,Tree,https://en.wikipedia.org/wiki/pinus_taeda
Pistacia Chinensis,pistacia_chinensis,Tree,https://en.wikipedia.org/wiki/pistacia_chinensis
Pistacia Lentiscus,pistacia_lentiscus,Shrub,https://en.wikipedia.org/wiki/pistacia_lentiscus
Pistia Stratiotes,pistia_stratiotes,Annual,https://en.wikipedia.org/wiki/pistia_stratiotes
Pithecellobium Dulce,pithecellobium_dulce,Tree,https://en.wikipedia.org/wiki/pithecellobium_dulce
Pittosporum Tenuifolium,pittosporum_tenuifolium,Shrub,https://en.wikipedia.org/wiki/pittosporum_tenuifolium
Pittosporum Tobira,pittosporum_tobira,Shrub,https://en.wikipedia.org/wiki/pittosporum_tobira
Platanus Occidentalis,platanus_occidentalis,Tree,https://en.wikipedia.org/wiki/platanus_occidentalis
Platanus Racemosa,platanus_racemosa,Tree,https://en.wikipedia.org/wiki/platanus_racemosa
Platycodon Grandiflorus,platycodon_grandiflorus,Perennial,https://en.wikipedia.org/wiki/platycodon_grandiflorus
Plumbago Auriculata,plumbago_auriculata,Annual,https://en.wikipedia.org/wiki/plumbago_auriculata
Plumeria Obtusa,plumeria_obtusa,Shrub,https://en.wikipedia.org/wiki/plumeria_obtusa
Plumeria Rubra,plumeria_rubra,House Plant,https://en.wikipedia.org/wiki/plumeria_rubra
Poa Pratensis,poa_pratensis,Grass (Lawn),https://en.wikipedia.org/wiki/poa_pratensis
Podocarpus Macrophyllus,podocarpus_macrophyllus,Tree,https://en.wikipedia.org/wiki/podocarpus_macrophyllus
